"name","address","phone","fax","email"
"Ergilsan Kesici Takım ve Kalıp İmalat San. Tic. Ltd. Şti.","Hasanoğlan Sanayi Bölgesi Bahçelievler Mah. 577. Cad. No :4 Hasanoğlan","03128640628","03128640631","ergilsan@ergilsan.com"
"EVEREST İNŞAAT MALZEMELERİ ÜRETİM VE PAZARLAMA A.Ş","","02163111670","02163111674","info@everestas.com"
"F.N.T. Ahşap İşleme Mak. San. ve Tic. A.Ş.","Organize Sanayi Bölgesi Hüsnü Örnek Cad.","02582692129","02582692132","muhasebe@fntahsap.com.tr"
"Feniş Ahşap Pvc.Al.İşl.Mak.Tas.İml.San.Tic. A.Ş.","Aydın-İzmir Karayolu Üzeri Kardeşköy Mah. Yeni Sok. No:128","02562440247","02562440589","info@fenismakina.com"
"Fimaksan Ağaç İşleme Makineleri İmalat San. ve Tic. Ltd. Şti","Pirahmetler Mah. D. 100 YAn Yol Caddesi 54200 No:76/2 Ertürk Otomotiv Sitesi Erenler/Sakarya","02642749458","02642726040","bilgi@fimaksan.com"
"FSD Yazılım Bilişim Danışmanlık Hizmetleri İç ve Dış Tic. Ltd. Şti.","","02165729594","","muhasebe@fsdyazilim.com"
"Gözet Makine A.Ş.","Atatürk Mah. 2.Cad. No:150 Kısıkköy","02322575177","","info@gozetmakina.com"
"Gültekin Ağaç İşleme Makinaları San.Tic.Ltd.Şti","Keresteciler San. Sit. 5. blok No: 14-16","(0212) 670 1166","","info@gultekinmakina.com.tr"
"Gümüş Marangoz Mak. İmal. İth. İhr. San. Ltd. Şti.","Önder Mah. Akçakale Cad. No:36 İç Kapı No:9","03123530135","03123490925","gumusmakina@hotmail.com"
"HASDEM Makina ve Kesici Takım İmal. San. ve Tic. Ltd. Şti.","Çamlıtepe Cad. No:76 Siteler","03123490929","03123490989","info@hasdem.com.tr"
"Hasmak El Makinaları San. Tic. Ltd. Şti.","İbrahim Turan Cad. Cüneytbey Mah. No:174 A-1","02322533223","02322644859","info@hasmakems.com"
"Hedef Makina Marangoz Makinaları İml. San. - Vedat Gümüş","","03123515050","","info@hedefmakinam.com"
"Hertz Motor Sanayi - Hüseyin Türksever","Önder Mah. Akçakale Sok. No:19 Siteler","03123533303","03123487474","info@hertzmotor.com"
"Hizmet Him Mak. ve Tekstil San. Tic. Ltd. Şti.","Sinanbey Mah. 9. Metal Sok. No: 3","02247149062","02247149072","muhasebe@hizmethimmakina.com"
"Ima Schelling İstanbul Makine Ltd.Şti.","","0 (507) 407 22 96","","info.tr@imaschelling.com"
"İnegöl Form Makina ve Metal San. Tic. Ltd. Şti.","","02247141012","02247140957","info@formmaksan.com"
"İnoteknik Makine Otomotiv Sanayi Ticaret Limited Şirketi","","02244110090","","muhasebe@inoteknik.com.tr"
"Isımek Makina Kazan İnş. San. ve Tic. Ltd. Şti.","Saray Mah. Aksoy Sok. No:34","03128155607","03128155610","info@isimek.com.tr"
"Kadromak Makine San. ve Dış Tic. A.Ş.","ESENKENT MAH MUHTEREM SOKAK NO:50","02163135565","02163135566","info@kadromak.com"
"Katay Makine Mühendislik Otomotiv Sanayi ve Tic. Ltd. Şti.","","+905327090489","","dynawrap@katay.com.tr"
"KLK Grup Mak. İnş. Kuy. Nak. Gıd. Hay. San. Tic. İth. ve İhr. Ltd. Şti.","Tezcan Sok. No: 33/3","03123511112","03123511119","info@klkmakine.com"
"Kocayusuf Ağaç Makinaları San. ve Tic. Ltd. Şti.","Yukarı Dudullu 1.Cad. no:30","02164668022","","info@kocayusufmakine.com"
"Lamtek Makine Otomasyon San.Tic. Ltd. Şti.","","02163040424","02163040425","info@lamtekmakine.com.tr"
"LDM Makina San. ve Tic. A.Ş.","","02244435344","","info@ldmmakina.com"
"Leitz Kesici Takımlar San. ve Tic. A.Ş.","Gebze Organize Sanayi Bölgesi No: 1602 41480","02626771727","02626771730","leitz@leitz.com.tr"
"Ligno Mak. San. ve Tic. Ltd. Şti.","Göztepe Mah. Atatürk Cad. Köprülü Çıkmazı No: 2/2 34815","02164657800","02164657809","ligno@ligno.com.tr"
"Lignum Ağaç Makineleri San. Tic. Ltd. Şti","","02244800098","","foreigntrade@lignum.com.tr"
"M.S.K. Motor Komp. Mak. San. Tic. Ltd. Şti.","NOSAB 113. Sok. No:23","02244110745","","info@ozgencmakina.com.tr"
"Maymak Makine İmalat San. Tic. Ltd. Şti.","Sümer Mah. Yeni Sanayi Cad. No:5","03842131647","03842139176","info@maymak.com.tr"
"Mergen Mekatronik Makina İml. San. Tic. Ltd. Şti","","5421429398","","geylaniovali@gmail.com"
"Mimçeko Makina İmalatı ve Ticareti","Karacakaya Cad. Yapıcı Sok. No: 58 - 06160","03123485002","03123510089","mimceko@hotmail.com"
"Mısırlı Tasarım Makina Müh. San. Tic. Ltd. Şti.","Osmaniye Mah. Mikail Sok. No:4","02247148456","02247148457","info@misirligroup.com"
"Mızrak Ahşap İşleme Makineleri San. ve Tic. A.Ş.","BTSO Organize San. Bölgesi Sarı Cad. 1. Sok. No: 4","02242417111","02242414090","info@mizrakmakine.com"
"MKT Makina ve Ahşap Teknolojileri San. ve Tic. A.Ş.","","02164667073","02164667079","info@mktmakina.com.tr"
"Mod Process Makina Sanayi ve Ticaret Anonim Şirketi","Turgut Reis Mah. Demokrasi Cd. No:233 A/0","0216 466 73 42","02164667343","info@modprocess.com"
"MTC Makina Kesici Takım Çözümleri A.Ş","Karabağlar Mah. 5759/6 Sk. No:2G","(232) 237 0660","","mtc@mtckesici.com"
"Nesto Makina Mobilya Gıda İnşaat ve İnşaat Malz. San. İth. İhr. Ltd. Şti.","Akhisar Mah. Eğriyol Sok. No:4","02247148884","","info@nestomachine.com"
"NETMAK End. ve Ahş. Mak. İml. San. ve Tic. A.Ş.","Koçak Sokak no: 54","03123489898","03123488101","makina@netmakgroup.com.tr"
"Netmak Kesici Takım İmalat Pazarlama Limited Şirketi","Bilgin Sok. No:27","03123489899","03123493426","netmak@netmakgroup.com.tr"
"NRG Makine San. İth. İhr. Ltd. Şti.","Mahmudiye Mh. 23. Mobilya Sk. No:7","2247157177","","cihan.yuruk@nrgmakine.com"
"Nümerik Mühendislik Otomasyon Makina San. Tic. Ltd. Şti.","","(224) 443 6360","(224) 443 6306","info@numerikotomasyon.com"
"Ö.K.G. Özkonyalılar Grup Makina İnşaat Kuy. Nak. Gıda Turizm San. Tic. İth. İhr. Ltd. Şti.","Tezcan Sok. No: 32/A B","03123488067","03123487113","info@ozkonyalilar.com.tr"
"OMAKSAN Ahşap İşleme Mak. San. ve Tic. Ltd. Şti.","Yiğitler Mahallesi Otosansit 43. BLOK NO: 32-34-36-38-40","02243713922","","info@omaksan.com.tr"
"Onursal Konveyör Mob. Mak. San. Ve Tic. Ltd. Şti.","Beylikdüzü OSB Mah. Menekşe Cad. No: 18/A","02128755000","02128763357","info@onurmakina.org"
"Orent Orman Ürünleri Mak.İnş. Taah.Turz.Tarım Nak. Tic.San. Ltd.Şti.","Azmimilli Mah. Gazhane Cad. No: 110","03805246676","03805141162","info@orent.com.tr"
"Orimak Makina San.Tic.Ltd.Şti.","Mahmudiye Mah. Ağaç İşleri San. Sit. 11.Sok. No:11","02247186268","","info@orimak.com"
"Ormend Makina San. Tic. Ltd. Şti.","","02165270112","02165270114","muhasebe@ormendmakina.com"
"Öz Anadolu Grup Makina Mob. Dek. Oto. İnş. Turizm İth. İhr. San. ve Tic. Ltd. Şti.","Sarayköy Keresteciler Sanayi Sitesi 3. Cadde No : 25","03123537170","03123501194","info@ozanadolumakina.com"
"Özbaşkent Mak. İmal. San. ve Tic. Ltd. Şti.","Gökçeyurt Mah. Samsun Devlet Yolu No:9","03123538295","","info@ozbaskentmakina.com.tr"
"Özkar Makina Sanayi","Tezcan Sokak No:33-4 Siteler","03123515196","03123505196","ozkar_makina@hotmail.com"
"PMR Makina San. İth. İhr. Tic. Ltd. Şti.","","02166296666","","info@pmrmakina.com"
"Poyraz Makina İml. San. Tic. Ltd. Şti.","İ.O.S.B Süleyman Demirel Bulvarı İş Modern San. Sitesi J Blok No:26","(0212) 549 27 52","(0212) 549 27 56","info@poyrazmakina.com"
"PRF Ağaç İşleme Makineleri San. Tic. A.Ş.","","02126700773","","sales@prfmakine.com"
"Reksoft Makina San. ve Tic. Ltd. Şti","Antalya Organize San. Bölgesi 3. Kısım 35.Cadde No:22","2425024626","","info@reksis.com.tr"
"Saf Teknik Toz Emme Sistemleri San. Tic. Ltd. Şti.","Hasanaga OSB Mh. 5. Cd. No:6","02245320516","02245320517","info@safteknik.com"
"Schnitzer Makine Yazılım İnşaat Üretim Pazarlama İthalat İhracat San. Tic. Ltd. Şti.","Çataltepe Mah. BESOB 4.Sok. No:17/1","02247160055","","info@schnitzer.com.tr"
"SCM Turkey Makina San. Tic. Ltd. Şti","Barbaros Mah. Mor Sümbül Sk. Varyap Meridian I Blok No:1/155","2165044000","","umut.erkan@scmgroup.com"
"Serhat Erpulat Makina San. ve Tic. Ltd. Şti.","7 Eylül Mah. 5549. Sk. 3 Blok D:7","02328532872","02328532572","info@serhatmakina.com"
"Sonar Elektronik ve Mak. San. Tic. Ltd. Şti.","54 Sok. No: 3","02323273033","02323273020","info@sonar.com.tr"
"SVSFAN Metal Makine San. ve Tic. Ltd. Şti.","","03322353063","","sivasmakina@gmail.com"
"T.R.SABIR MAKİNE LTD ŞTİ","","03123958052","","moxsabir@gmail.com"
"TEKNİKER OTO. İNŞ. HAYV. MAK. SAN. TİC. LTD.ŞTİ.","","03123487895","","teknikertozemme@hotmail.com"
"Teknomak Mob. Mak. Kesici Takımlar San. ve Tic. Ltd. Şti.","Altınşehir Mah. Şen Sok. No:4 Y.Dudullu","02166614033","02166614035","info@teknomakmakina.com.tr"
"TEKSER Makina Teknik Danışmanlık San. Tic. ve Paz. Ltd. Şti.","","02163405104","02165454047","info@teksermakina.com"
"Tervelli Endüstriyel Ürünler Dış Tic. Ltd. Şti.","Çamlık Mah. Mercimek Sok. No: 60 Daire: 3","02164204061","02164665125","info@tervelli.com.tr"
"Testeresan Sanayi Testere ve Bıçakları Ltd. Şti.","","+90 212 671 37 27","","info@testeresan.com"
"Timsan Teknik İnş. Mak. San. Ltd. Şti.","Atatürk Bulvarı No:46 Başkent OSB 06909 Malıköy - Temelli Mevkii","03123547800","03123547852","info@timsan.com.tr"
"Törk Makine Sanayi ve Ticaret Anonim Şirketi","Esentepe Mah. Uğur Cad. No:29 34870","02163870540","02164882802","info@torkmakine.com"
"Turanlar Mak. San. ve Tic. A.Ş.","Eskişehir Yolu 55.Km Temelli Nahiyesi","02165618586","03123539191","info@turanlar.com"
"Ünalsan Metal ve Makina San. Tic. A.Ş.","İzmir Yolu 15.km Alaaddinbey Mah. Alaaddinbey Cad. No: 18","02244134140","02244130386","info@unalsan.com"
"Unimak Mühendislik Hizmet ve Makine San.Tic. Ltd.Şti.","Tuzla Kimya San. OSB Analitik Cad. No:40 34953","02165931580","02165931426","info@unimak.tc"
"Unitech Mühendislik Makina Sanayi A.Ş.","","0 216 484 2912","","info@unitechas.com"
"Ünver Ağaç İşleme Makinaları San. ve Tic. Ltd. Şti.","Ereğli Caddesi No:11 Siteler","03128151558","03128151559","unvermakine@gmail.com"
"Ünverler Mobilya Makinaları Orman Ür. İnş. Tur. Day. Tük. Mal. San. Tic. Ltd.Şti","","0312353 2121","","eren@unverlermakina.com.tr"
"Üstünkarlı Makine A.Ş.","İstasyon Cad. Gölcükler Mah. No:28 35470","02327821390","02327821391","info@ustunkarli.com"
"UVTEK MÜHENDİSLİK MAKİNE KİMYA SANAYİ TİC. A.Ş.","Dilovası OSB. 4.Kısım D-4015 Sok. No: 2/1","02627249448","","info@uvtekgroup.com"
"Vermak Makine Plastik San. ve Tic. Ltd. Şti.","Çerkeşli OSB, 3. İmes Bulvarı No:37","02625029262","","danisma@vermak.com.tr"
"VMM Varol Makina San. Tic. Ltd. Şti.","","02164206565","02163142263","info@varolmakina.com"
"Wimak Makina İth. İhr. San. ve Tic. Ltd.Şti","","+90 535 296 27 47","","info@wimak.com.tr"
